id,gender,needs-review,notes
1789:1,Unknown,,
1789:2,Unknown,,
1789:3,Unknown,,
1789:4,Unknown,,
1789:5,Woman,,
1789:6,Unknown,,
1789:7,Woman,,
1789:8,Unknown,,
1789:9,Unknown,,
1789:10,Woman,checked,
1789:11,Unknown,,
1789:12,Woman,,
1789:13,Woman,checked,
1789:14,Unknown,,
1789:15,Unknown,,
1789:16,Man,checked,
1789:17,Unknown,,
1789:18,Woman,,
1789:19,Unknown,,
1789:20,Woman,,
1789:21,Man,checked,
1789:22,Unknown,,
1789:23,Man,checked,
1789:24,Unknown,,
1789:25,Woman,checked,
1789:26,Unknown,,
1789:27,Woman,checked,
1789:28,Woman,checked,
1789:29,Unknown,,
1789:30,Woman,,
1789:31,Woman,,
1789:32,Man,,
1789:33,Woman,,
1789:34,Man,,
1789:35,Woman,,
1789:36,Woman,,
1789:37,Man,,
1789:38A,Woman,,
1789:38B,Woman,,Same author as 1789:38A
1789:39,Woman,,
1789:40,Woman,,
1789:41,Woman,,
1789:42,Woman,,
1789:43,Man,,
1789:44,Man,,
1789:45,Woman,,
1789:46,Woman,,Same author as 1789:45
1789:47,Woman,,
1789:48,Man,,
1789:49,Woman,,
1789:50,Man,checked,
1789:51,Man,,
1789:52,Woman,,
1789:53,Woman,,
1789:54,Man,,
1789:55,Man,,
1789:56,Man,,
1789:57,Man,,
1789:58,Woman,,
1789:59,Woman,,
1789:60,Woman,,
1789:61,Man,,
1789:62,Woman,,
1789:63,Man,checked,
1789:64,Woman,,
1789:65,Woman,,
1789:66,Woman,,
1789:67,Woman,,
1789:68,Woman,,
1789:69,Man,,
1789:70,Woman,,
1789:71,Man,,
1790:1,Unknown,,
1790:2,Unknown,,
1790:3,Woman,,
1790:4,Unknown,,
1790:5,Unknown,,
1790:6,Unknown,,
1790:7,Unknown,,
1790:8,Unknown,,
1790:9,Unknown,,
1790:10,Unknown,,
1790:11,Unknown,,
1790:12,Unknown,,
1790:13,Unknown,,
1790:14,Man,checked,
1790:15,Unknown,,
1790:16,Unknown,,
1790:17,Unknown,,
1790:18,Unknown,,
1790:19,Man,checked,
1790:20,Unknown,,
1790:21,Unknown,,
1790:22,Woman,,
1790:23,Unknown,,
1790:24,Woman,,
1790:25,Unknown,,
1790:26,Woman,checked,
1790:27,Man,checked,
1790:28,Woman,,
1790:29,Woman,checked,
1790:30,Unknown,,
1790:31,Unknown,,
1790:32,Unknown,,
1790:33,Unknown,,
1790:34,Woman,,
1790:35,Unknown,,
1790:36,Man,,
1790:37,Woman,,
1790:38,Woman,,
1790:39,Woman,,
1790:40,Woman,checked,Translation: John Hall
1790:41,Man,,
1790:42,Man,checked,"""Notes. ESTC gives author as John Armstrong. Robinson paid 10 gns. on 3 Aug 1789 to Anna Eden for Letters of Albert."""
1790:43,Woman,,
1790:44,Man,,
1790:45,Man,,Same author as 1790:44
1790:46,Man,,
1790:47,Woman,,
1790:48,Woman,,
1790:49,Woman,,
1790:50,Woman,,
1790:51,Man,checked,
1790:52,Man,,
1790:53,Man,,
1790:54,Woman,,
1790:55,Woman,,
1790:56,Woman,,
1790:57,Woman,,
1790:58,Woman,,
1790:59,Woman,,
1790:60,Woman,,2 women: Elizabeth and Jane Purbeck
1790:61,Woman,,
1790:62,Woman,,
1790:63,Woman,,Same author as 1790:62
1790:64,Man,,
1790:65,Woman,checked,
1790:66,Man,,
1790:67,Woman,,
1790:68,Woman,,
1790:69,Man,,
1790:70,Woman,,
1790:71,Man,,"3 authors: Theobald Wolfe Tone, Richard Jebb, and John Radcliff"
1790:72,Man,checked,
1790:73,Woman,,
1790:74,Woman,,
1791:1,Unknown,,
1791:2,Unknown,checked,
1791:3,Unknown,,
1791:4,Unknown,,
1791:5,Unknown,,
1791:6,Unknown,,
1791:7,Woman,checked,
1791:8,Unknown,,
1791:9,Woman,,
1791:10,Unknown,,
1791:11,Unknown,,
1791:12,Unknown,,
1791:13,Woman,checked,
1791:14,Man,checked,
1791:15,Woman,,
1791:16,Woman,,
1791:17,Unknown,,
1791:18,Woman,,
1791:19,Unknown,,
1791:20,Unknown,,
1791:21,Unknown,,
1791:22,Unknown,,
1791:23,Unknown,,
1791:24,Unknown,,
1791:25,Unknown,,
1791:26,Woman,,
1791:27,Woman,,
1791:28,Man,,
1791:29,Man,,
1791:30,Woman,,
1791:31,Man,,
1791:32,Man,,
1791:33,Man,,
1791:34,Woman,,
1791:35,Man,,
1791:36,Man,,Same author as 1791:35;Translated by a woman (Elizabeth Morgan)
1791:37,Man,,
1791:38,Man,,
1791:39,Man,,Same author as 1791:38; Translated by a woman (Elizabeth Helme?)
1791:40,Man,,
1791:41,Woman,,
1791:42,Woman,,
1791:43,Woman,,
1791:44,Man,,
1791:45,Man,checked,
1791:46,Man,,
1791:47,Woman,,
1791:48,Man,,"Question mark next to last name (Man, Henry)"
1791:49,Man,,"Same author as 1791:48, without question mark next to name"
1791:50,Woman,,
1791:51,Unknown,checked,
1791:52,Woman,,
1791:53,Man,,
1791:54,Unknown,checked,
1791:55,Woman,,
1791:56,Woman,,
1791:57,Woman,,Written by two women: Jane and Elizabeth Purbeck
1791:58,Woman,,
1791:59,Woman,,
1791:60,Woman,,
1791:61,Woman,,Same author as 1791:60
1791:62,Man,,
1791:63,Man,,
1791:64,Man,,
1791:65,Man,,
1791:66,Man,,
1791:67,Man,,Same author as 1791:66
1791:68,Woman,,
1791:69,Woman,,
1791:70,Woman,,
1791:71,Woman,,
1791:72,Man,,
1791:73,Man,checked,
1791:74,Woman,,
1792:1,Unknown,checked,
1792:2,Unknown,,
1792:3,Woman,,
1792:4,Unknown,,
1792:5,Unknown,,
1792:6,Unknown,,
1792:7,Woman,,
1792:8,Woman,,
1792:9,Unknown,,
1792:10,Unknown,,
1792:11,Unknown,,
1792:12,Unknown,,
1792:13,Unknown,,
1792:14,Woman,checked,
1792:15,Woman,,
1792:16,Man,checked,
1792:17,Woman,,
1792:18,Unknown,,
1792:19,Woman,checked,
1792:20,Woman,checked,
1792:21,Woman,checked,
1792:22,Woman,,
1792:23,Woman,,
1792:24,Unknown,,
1792:25,Man,checked,
1792:26,Unknown,,
1792:27,Man,checked,
1792:28,Woman,checked,
1792:29,Man,,
1792:30,Man,checked,
1792:31,Man,,
1792:32,Man,,"2 authors, male translator"
1792:33,Woman,,
1792:34,Man,,
1792:35,Man,,Same author as 1792:34
1792:36,Woman,,
1792:37,Man,,
1792:38,Man,,
1792:39,Man,,
1792:40,Woman,,
1792:41,Man,,
1792:42,Woman,,
1792:43,Woman,,
1792:44,Man,,
1792:45,Woman,,
1792:46,Woman,,
1792:47,Woman,,same author as 1792:46
1792:48,Man,checked,
1792:49,Man,,
1792:50,Woman,,
1792:51,Woman,,
1792:52,Woman,,
1792:53,Woman,,
1792:54,Woman,,same author as 1792:53
1792:55,Man,,
1792:56,Woman,,
1792:57,Man,checked,
1792:58,Man,,
1793:1,Unknown,checked,
1793:2,Unknown,,
1793:3,Unknown,,
1793:4,Unknown,,
1793:5,Unknown,,
1793:6,Unknown,,
1793:7,Woman,,
1793:8,Unknown,,
1793:9,Unknown,,
1793:10,Woman,checked,
1793:11,Unknown,,
1793:12,Unknown,,
1793:13,Unknown,,
1793:14,Unknown,checked,
